2009,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males Total,Prep Females Total,Prep Total,Year 1 Males Total,Year 1 Females Total,Year 1 Total,Year 2 Males Total,Year 2 Females Total,Year 2 Total,Year 3 Males Total,Year 3 Females Total,Year 3 Total,Year 4 Males Total,Year 4 Females Total,Year 4 Total,Year 5 Males Total,Year 5 Females Total,Year 5 Total,Year 6 Males Total,Year 6 Females Total,Year 6 Total,Primary Ungraded Males Total,Primary Ungraded Females Total,Primary Ungraded Total,Primary Total,Year 7 Males Total,Year 7 Females Total,Year 7 Total,Year 8 Males Total,Year 8 Females Total,Year 8 Total,Year 9 Males Total,Year 9 Females Total,Year 9 Total,Year 10 Males Total,Year 10 Females Total,Year 10 Total,Year 11 Males Total,Year 11 Females Total,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Secondary Ungraded Males Total,Secondary Ungraded Females Total,Secondary Ungraded Total,Secondary Total,Grand Total
Government,1,2093,Little Bendigo Primary School,Primary,O,5,6,11,4,6,10,1,0,1,1,2,3,6,2,8,2,2,4,3,5,8,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Government,1,2103,Urquhart Park Primary School,Primary,O,27,23,50,25,30,55,32,24,56,23,30,53,31,14,45,25,20,45,23,34,57,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361
Government,1,2104,Warragul Primary School,Primary,O,19,22,41,24,14,38,23,23,46,13,32,45,31,13,44,33,30,63,30,24,54,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331
Government,1,2105,Kangaroo Ground Primary School,Primary,O,13,7,20,17,10,27,8,11,19,17,11,28,12,5,17,15,12,27,12,9,21,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
Government,1,2114,Traralgon South Primary School,Primary,O,2,13,15,4,12,16,11,10,21,6,4,10,11,10,21,8,5,13,7,5,12,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
Government,1,2118,Coleraine Primary School,Primary,O,4,1,5,8,6,14,2,4,6,3,8,11,4,7,11,5,5,10,5,8,13,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
Government,1,2122,Lake Charm Primary School,Primary,O,4,3,7,0,2,2,1,2,3,2,0,2,0,2,2,0,0,0,2,5,7,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Government,1,2129,Ripplebrook Primary School,Primary,O,1,0,1,0,1,1,0,0,0,0,1,1,1,1,2,2,1,3,1,4,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Government,1,2134,Numurkah Primary School,Primary,O,9,15,24,16,15,31,11,15,26,12,12,24,16,15,31,17,16,33,23,21,44,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213
Government,1,2136,Commercial Road Primary School - Morwell,Primary,O,26,22,48,3,14,17,25,17,42,13,18,31,14,25,39,22,19,41,14,18,32,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
