Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Males Total,Prep Females Total,Prep Total,Year 1 Males Total,Year 1 Females Total,Year 1 Total,Year 2 Males Total,Year 2 Females Total,Year 2 Total,Year 3 Males Total,Year 3 Females Total,Year 3 Total,Year 4 Males Total,Year 4 Females Total,Year 4 Total,Year 5 Males Total,Year 5 Females Total,Year 5 Total,Year 6 Males Total,Year 6 Females Total,Year 6 Total,Primary Ungraded Males Total,Primary Ungraded Females Total,Primary Ungraded Total,Primary Total,Year 7 Males Total,Year 7 Females Total,Year 7 Total,Year 8 Males Total,Year 8 Females Total,Year 8 Total,Year 9 Males Total,Year 9 Females Total,Year 9 Total,Year 10 Males Total,Year 10 Females Total,Year 10 Total,Year 11 Males Total,Year 11 Females Total,Year 11 Total,Year 12 Males,Year 12 Females,Year 12 Total,Secondary Ungraded Males Total,Secondary Ungraded Females Total,Secondary Ungraded Total,Secondary Total,Grand Total
Government,1,5049,Woodville Primary School,Primary,O,32,31,63,33,19,52,30,30,60,15,28,43,37,37,74,19,17,36,30,27,57,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385
Government,1,5050,Glengala/Sunshine West Primary School,Primary,O,11,8,19,8,23,31,11,9,20,11,17,28,20,16,36,12,23,35,21,21,42,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
Government,1,5053,Karingal Heights Primary School,Primary,O,11,20,31,19,13,32,23,22,45,15,10,25,12,9,21,17,13,30,11,16,27,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
Government,1,5055,Wallarano Primary School,Primary,O,45,56,101,50,37,87,32,38,70,57,34,91,46,37,83,37,35,72,44,47,91,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595
Government,1,5057,Lilydale West Primary School,Primary,O,27,22,49,25,25,50,24,27,51,25,18,43,20,21,41,26,29,55,38,22,60,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349
Government,1,5059,Mooroolbark East Primary School,Primary,O,22,29,51,23,23,46,29,32,61,33,34,67,26,33,59,30,33,63,33,34,67,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414
Government,1,5064,Ardeer South Primary School,Primary,O,11,11,22,12,18,30,14,25,39,20,16,36,17,19,36,10,16,26,13,11,24,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213
Government,1,5066,Gladesville Primary School,Primary,O,6,8,14,9,3,12,8,9,17,6,8,14,6,11,17,14.6,5,19.6,15,9,24,0,0,0,117.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.6
Government,1,5067,Falls Creek Primary School,Primary,O,0,1,1,1,2,3,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Government,1,5068,Debney Meadows Primary School,Primary,O,4,10,14,6,7,13,7,11,18,6,7,13,8,11,19,6,9,15,7,8,15,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
Government,1,5070,Spring Valley Primary School,Primary,C,18,16,34,9,20,29,22,17,39,16,13,29,11,11,22,13,14,27,18,17,35,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215
