"Post School Destinations of Year 12 or equivalent completers in 2018, Victorian schools",,,,,,,,,,,,,
Source: On Track Year 12 completer survey 2019 (Department of Education and Training),,,,,,,,,,,,,
,,,,,,,,,,,,,
VCAA CODE,SCHOOL NAME,SECTOR,LOCALITY,TOTAL COMPLETED YEAR 12,ON TRACK CONSENTERS,ON TRACK SURVEY DATA 2019 **,,,,,,,
,,,,,,ON TRACK RESPONDENTS*,IN EDUCATION AND TRAINING - MAY 2019,,,,NOT IN EDUCATION AND TRAINING - MAY 2019,,
,,,,,,,BACHELOR ENROLLED,DEFERRED,TAFE / VET ENROLLED,APPRENTICE / TRAINEE,EMPLOYED,LOOKING FOR WORK,Other^
,,,,(NUMBER),(NUMBER),(NUMBER),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT),(PER CENT)
01788,MARY MACKILLOP CATHOLIC REGIONAL COLLEGE,C,LEONGATHA,79,43,25,48,20,4,16,12,0,0
01470,MARYBOROUGH EDUCATION CENTRE,G,MARYBOROUGH REGION,68,46,37,30,14,14,14,22,8,0
15008,MARYMEDE CATHOLIC COLLEGE,C,SOUTH MORANG,156,135,74,47,12,24,7,8,1,0
01431,MATER CHRISTI COLLEGE,C,BELGRAVE - SELBY,122,105,70,71,11,4,3,10,0,0
01067,MATTHEW FLINDERS GIRLS SECONDARY COLLEGE,G,GEELONG,93,81,53,43,11,13,6,25,2,0
01218,MAZENOD COLLEGE,C,MULGRAVE,193,190,115,76,4,10,3,4,3,1
01011,MCCLELLAND SECONDARY COLLEGE,G,FRANKSTON NORTH,113,78,60,28,7,25,10,25,5,0
01325,MCKINNON SECONDARY COLLEGE,G,BENTLEIGH - MCKINNON,316,316,237,74,8,7,4,5,0,0
01513,MELBA SECONDARY COLLEGE,G,CROYDON,81,79,61,31,7,26,15,11,10,0
01247,MELBOURNE GIRLS COLLEGE,G,RICHMOND (VIC.),249,244,175,73,14,6,2,4,1,0
01164,MELBOURNE GIRLS GRAMMAR,I,SOUTH YARRA - WEST,108,88,55,85,5,2,2,2,4,0
01223,MELBOURNE GRAMMAR SCHOOL,I,SOUTH YARRA - WEST,186,116,64,84,3,5,2,3,3,0
01556,MELBOURNE RUDOLF STEINER SCHOOL,I,CROYDON HILLS - WARRANWOOD,38,29,17,41,35,6,6,6,6,0
01065,MENTONE GIRLS' GRAMMAR SCHOOL,I,MENTONE,71,66,50,90,2,8,0,0,0,0
01273,MENTONE GIRLS SECONDARY COLLEGE,G,MENTONE,172,136,91,71,10,10,2,5,1,0
01116,MENTONE GRAMMAR SCHOOL,I,MENTONE,193,193,121,81,3,9,2,3,1,0
01183,MERCY REGIONAL COLLEGE,C,CAMPERDOWN,76,73,53,34,17,9,25,15,0,0
01015,METHODIST LADIES' COLLEGE,I,KEW,291,230,148,86,8,5,1,0,1,0
01107,MILDURA SENIOR COLLEGE,G,MILDURA,339,305,190,32,11,11,14,27,5,1
01873,MILL PARK SECONDARY COLLEGE,G,EPPING,272,141,106,42,14,16,8,12,6,2
